name,price,package_size,serving_size,calories_per_serving,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Includes,Protein,Vitamin D,Calcium,Iron,Potassium,Fiber,Polyunsaturated Fat,Monounsaturated Fat,Added Sugars,Sugars,Vitamin A,Vitamin C,Incldues,Toal Sugars,Insoluble Fiber,Soluble Fiber,Incoudes,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Includesq,Inculdes,Calckum,Total Carbodydrate,Incudes,Zinc,Pantothenic Acid,Total Carbohydrateq,Phosphorus,Caclium,Calories from Fat,includes,Trans Fat 0g,Total Carbodyrate,Included,Includes Added Sugars,Total Carbohyrate,† As prepared with unsalted butter and salt.,Sodim,Inclues,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Chicken Chile Verde Burritos,$3.99,/14 Oz,1 burrito(198 g),810.0,29 g,8 g,0 g,75 mg,1950 mg,102 g,4 g,less than 1 g,0 g Added Sugars,39 g,0.0 mcg,270 mg,7.6 mg,440 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nocciolini Tiny Hazelnut Meringues,$2.69,/3.5 Oz,1/3 cup(28g),150.0,8 g,0.5 g,0 g,0 mg,15 mg,16 g,1 g,16 g,15 g Added Sugars,3 g,0.0 mcg,20 mg,0.4 mg,110 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crispy Oatmeal Cookies with Sea Salt,$3.99,/7 Oz,5 cookies(30g),120.0,5 g,3.0 g,0 g,20 mg,130 mg,17 g,0 g,8 g,8 g Added Sugars,2 g,0.0 mcg,10 mg,0.7 mg,20 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolate Coffee Flavored Granola,$3.99,/12 Oz,3/4 cup(58g),110.0,8 g,1.5 g,0 g,0 mg,120 mg,42 g,5 g,15 g,15 g Added Sugars,5 g,0.0 mcg,20 mg,2.7 mg,240 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avocado Mash,$3.49,/8 Oz,2 Tbsp(30g),45.0,4 g,0.5 g,0 g,0 mg,90 mg,3 g,2 g,0 g,0 g Added Sugars,less than 1 g,0.0 mcg,0 mg,0.2 mg,140 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unsalted Dry Toasted Sliced Almonds,$3.49,/8 Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmigiano Reggiano Stravecchio,$17.99,/1 Lb,1 oz(28g/about 1 inch cube),110.0,8g,6g,0g,25mg,180mg,0g,,0g,0g Added Sugars,9g,,,,,0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beef, Bean & Cheese Burrito",$4.49,/8 Oz,1 burrito(227g),540.0,24 g,7 g,0.5 g,45 mg,820 mg,56 g,6 g,4 g,1 g Added Sugars,21 g,0.6 mcg,220 mg,5.6 mg,470 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaves of Little Gem Lettuce,$2.99,/6 Oz,1/2 package(85g),30.0,0.5 g,0 g,0 g,0 mg,15 mg,6 g,4 g,2 g,0 g Added Sugars,2 g,0.0 mcg,60 mg,1.6 mg,420 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premium Extra Virgin Olive Oil Cold Pressed,$12.99,/33.8 Fl Oz,1 Tbsp.(15mL),120.0,14 g,2 g,0 g,,0 mg,0 g,,,,0 g,,,,,,1.5g,10 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
