name,price,package_size,serving_size,calories_per_serving,serves_about,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron
Nocciolini Tiny Hazelnut Meringues,2.69,99.23,28.0,150.0,3.5,8.0,0.5,0.0,0.0,0.01,16.0,1.0,16.0,15.0,3.0,0.0,0.02,0.0
Crispy Oatmeal Cookies with Sea Salt,3.99,198.45,30.0,120.0,7.0,5.0,3.0,0.0,0.02,0.13,17.0,0.0,8.0,8.0,2.0,0.0,0.01,0.0
Chocolate Coffee Flavored Granola,3.99,340.2,58.0,110.0,6.0,3.5,0.5,0.0,0.0,0.06,19.0,2.0,7.0,7.0,2.0,0.0,0.01,0.0
Avocado Mash,3.49,226.8,30.0,45.0,8.0,4.0,0.5,0.0,0.0,0.09,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
"Beef, Bean & Cheese Burrito",4.49,226.8,227.0,540.0,1.0,24.0,7.0,0.5,0.04,0.82,56.0,6.0,4.0,1.0,21.0,1e-06,0.22,0.01
Leaves of Little Gem Lettuce,2.99,170.1,85.0,30.0,2.0,0.0,0.0,0.0,0.0,0.01,3.0,2.0,1.0,0.0,1.0,0.0,0.03,0.0
Yellow Mini Sheet Cake,5.99,396.9,66.0,290.0,6.0,15.0,6.0,0.0,0.04,0.18,38.0,1.0,25.0,25.0,2.0,0.0,0.0,0.0
Sweetheart White Stilton Cheese,5.49,179.74,28.0,110.0,6.0,7.0,5.0,0.0,0.01,0.11,6.0,1.0,5.0,4.0,4.0,0.0,0.09,0.0
Lentils,0.99,425.25,130.0,80.0,3.5,0.5,0.0,0.0,0.0,0.29,16.0,3.0,0.0,0.0,6.0,0.0,0.02,0.0
Miso Instant Ramen Soup,1.89,42.53,43.0,180.0,1.0,3.0,0.0,0.0,0.0,0.86,31.0,2.0,3.0,1.0,7.0,0.0,0.02,0.0
Sliced Shiitake Mushrooms,3.49,283.5,85.0,25.0,3.5,0.0,0.0,0.0,0.0,0.04,4.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0
Handheld Chicken Pot Pies,4.49,255.15,255.0,1140.0,1.0,22.0,11.0,1.0,0.03,0.6,37.0,4.0,5.0,1.0,14.0,0.0,0.05,0.0
Dark Chocolate Bark,5.49,226.8,30.0,160.0,8.0,9.0,5.0,0.0,0.01,0.03,18.0,2.0,14.0,13.0,2.0,0.0,0.02,0.0
Soft Pretzel Twists,3.49,405.41,67.0,190.0,6.0,4.0,0.5,0.0,0.0,0.34,33.0,1.0,0.0,0.0,5.0,0.0,0.01,0.0
Cheesy Bagels,3.49,340.2,85.0,210.0,4.0,2.5,1.5,0.0,0.01,0.45,40.0,1.0,4.0,3.0,8.0,0.0,0.12,0.0
Sandwich Rolls,3.49,340.2,85.0,200.0,4.0,2.0,0.0,0.0,0.0,0.45,38.0,2.0,1.0,1.0,8.0,0.0,0.05,0.0
70% Peruvian Cacao Dark Chocolate Bar,2.49,99.23,30.0,180.0,3.5,12.0,7.0,0.0,0.0,0.0,14.0,3.0,9.0,9.0,3.0,0.0,0.02,0.0
Yangnyeom Sauce,3.99,439.43,36.0,60.0,12.0,0.0,0.0,0.0,0.0,0.57,12.0,1.0,10.0,9.0,1.0,0.0,0.02,0.0
Organic Spaghetti Triangoletti Pasta,1.99,453.59,56.0,200.0,8.0,0.5,0.0,0.0,0.0,0.0,40.0,2.0,1.0,0.0,7.0,0.0,0.01,0.0
Homestyle Angus Beef Meatballs,7.99,578.34,96.0,280.0,6.0,22.0,10.0,1.0,0.05,0.34,5.0,0.0,0.0,0.0,17.0,0.0,0.09,0.0
Dark Chocolate & Almond Cookie Tiles,3.99,141.75,28.0,150.0,5.0,8.0,3.5,0.0,0.01,0.09,16.0,1.0,12.0,9.0,3.0,0.0,0.01,0.0
Conversation Hearts Candies,0.99,37.14,14.0,60.0,2.5,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0
Heart Shaped Macarons,5.49,119.92,30.0,130.0,4.0,6.0,2.5,0.0,0.0,0.01,16.0,1.0,14.0,12.0,2.0,0.0,0.02,0.0
Dark Chocolate Covered Bon Bon Cookies,2.99,99.79,30.0,170.0,3.5,10.0,7.0,0.0,0.01,0.03,16.0,1.0,13.0,12.0,1.0,0.0,0.01,0.0
Double Cream Brie,4.49,226.8,28.0,110.0,8.0,10.0,6.0,0.0,0.03,0.2,0.0,0.0,0.0,0.0,5.0,0.0,0.13,0.0
Whipped Feta Spread,3.99,226.8,28.0,70.0,8.0,6.0,3.0,0.0,0.01,0.17,1.0,0.0,0.0,0.0,4.0,0.0,0.05,0.0
Artichoke Bottoms,2.99,396.9,110.0,40.0,3.5,0.0,0.0,0.0,0.0,0.05,9.0,4.0,0.0,0.0,3.0,0.0,0.02,0.0
Portuguese Donuts,3.99,220.0,55.0,210.0,4.0,10.0,2.5,0.0,0.01,0.15,28.0,2.0,11.0,11.0,4.0,0.0,0.17,0.0
Sweet Ripe Plantains,2.49,453.6,78.0,130.0,6.0,2.0,0.0,0.0,0.0,0.0,28.0,2.0,18.0,0.0,1.0,0.0,0.0,0.0
Sugar Cookie Dough Hearts,3.99,306.18,26.0,110.0,12.0,5.0,2.5,0.0,0.02,0.06,15.0,0.0,8.0,8.0,1.0,0.0,0.02,0.0
Miso Ginger Broth,2.49,946.24,240.0,10.0,4.0,0.0,0.0,0.0,0.0,0.59,1.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0
Maître Pierre Tarte d' Alsace,5.49,226.8,76.0,190.0,3.0,11.0,6.0,0.0,0.04,0.4,17.0,0.0,1.0,0.0,7.0,0.0,0.1,0.0
Chicken Shu Mai,3.99,311.85,104.0,390.0,3.0,3.0,0.5,0.0,0.04,0.76,16.0,1.0,6.0,4.0,11.0,0.0,0.02,0.0
Sugared Rice Cracker Hearts,1.99,170.1,28.0,110.0,6.0,0.0,0.0,0.0,0.0,0.08,25.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0
Chocolate & Peanut Butter Lover's Nut Mix,5.49,340.2,30.0,160.0,11.0,11.0,2.5,0.0,0.0,0.16,13.0,2.0,5.0,4.0,4.0,0.0,0.03,0.0
Honey Roasted Macadamia Nuts & Cashews,4.99,226.8,30.0,180.0,8.0,13.0,2.0,0.0,0.0,0.06,11.0,3.0,2.0,2.0,4.0,0.0,0.02,0.0
Elevated Nut Mix,5.99,255.15,30.0,180.0,9.0,15.0,2.0,0.0,0.0,0.04,10.0,5.0,1.0,0.0,4.0,0.0,0.03,0.0
Vegetable Dumplings,3.99,299.94,75.0,120.0,4.0,3.0,0.5,0.0,0.0,0.22,22.0,1.0,2.0,1.0,1.0,0.0,0.02,0.0
Teriyaki Mushroom Mini Bao Buns,4.79,269.89,90.0,190.0,3.0,4.5,3.0,0.0,0.0,0.38,34.0,1.0,8.0,6.0,5.0,0.0,0.06,0.0
Dark Chocolate Covered Caramels,5.49,283.5,24.0,90.0,12.0,4.5,3.0,0.0,0.01,0.06,13.0,1.0,12.0,7.0,1.0,0.0,0.02,0.0
Sprinkle Cake Bites,3.99,240.12,30.0,120.0,8.0,4.0,1.5,0.0,0.0,0.07,20.0,0.0,13.0,13.0,1.0,0.0,0.0,0.0
European Grains & Seeds Bread,3.49,474.86,52.0,120.0,9.0,5.0,0.5,0.0,0.0,0.3,14.0,4.0,1.0,1.0,4.0,0.0,0.04,0.0
Gluten Free Oatmeal Coconut Cookies,4.99,299.94,50.0,210.0,6.0,8.0,5.0,0.0,0.04,0.12,31.0,2.0,15.0,13.0,3.0,0.0,0.03,0.0
Teensy Candy Bars,2.99,198.45,33.0,170.0,6.0,9.0,3.5,0.0,0.01,0.09,19.0,1.0,15.0,14.0,3.0,0.0,0.04,0.0
Medium Green Ripe Pitted Olives,2.49,406.82,15.0,20.0,11.0,1.5,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Organic Concord Grape Jelly,3.49,567.0,20.0,50.0,28.0,0.0,0.0,0.0,0.0,0.01,13.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0
Strawberry Mini Hold the Cone!,3.99,223.97,84.0,690.0,2.5,12.0,9.0,0.0,0.02,0.07,34.0,1.0,20.0,17.0,3.0,0.0,0.05,0.0
Chicken Mole,6.99,453.6,140.0,190.0,3.0,7.0,1.0,0.0,0.07,0.53,12.0,1.0,6.0,6.0,20.0,0.0,0.03,0.0
Crispy Potato & Poblano Pepper Tacos,4.99,329.99,55.0,120.0,6.0,6.0,2.5,0.0,0.0,0.18,17.0,1.0,1.0,0.0,2.0,0.0,0.02,0.0
Spicy Chicken Nuggets,3.99,340.2,79.0,170.0,4.5,11.0,2.5,0.0,0.03,0.36,11.0,1.0,0.0,0.0,9.0,0.0,0.02,0.0
Sliced Bresaola Uncured Beef Prosciutto,6.99,85.05,30.0,180.0,3.0,1.5,0.5,0.0,0.03,0.55,1.0,0.0,1.0,0.0,11.0,0.0,0.02,0.0
Hot Honey Mustard Dressing,3.99,354.84,30.0,140.0,12.0,13.0,1.0,0.0,0.0,0.23,6.0,0.0,5.0,5.0,1.0,0.0,0.02,0.0
Creamy Dreamy Hummus,2.49,226.8,28.0,50.0,8.0,3.0,0.5,0.0,0.0,0.12,4.0,1.0,1.0,0.0,2.0,0.0,0.01,0.0
Cookies & Crème Pretzel Slims,3.49,170.1,28.0,140.0,6.0,5.0,4.5,0.0,0.0,0.12,20.0,0.0,12.0,11.0,2.0,0.0,0.03,0.0
Wild Nova Style Smoked Sockeye Salmon,13.99,226.8,56.0,0.0,4.0,0.5,0.0,0.0,0.03,0.54,2.0,0.0,0.0,0.0,12.0,1.8e-05,0.0,0.0
Wild Nova Style Smoked Sockeye Salmon,21.99,453.6,56.0,60.0,8.0,0.5,0.0,0.0,0.03,0.54,2.0,0.0,0.0,0.0,12.0,1.8e-05,0.0,0.0
Organic Super Bread,3.99,510.3,64.0,240.0,8.0,13.0,1.5,0.0,0.0,0.2,24.0,5.0,3.0,1.0,9.0,0.0,0.07,0.0
Shredded Pepper Jack Cheese Blend,3.99,340.2,28.0,100.0,12.0,8.0,6.0,0.0,0.03,0.19,1.0,0.0,0.0,0.0,6.0,0.0,0.19,0.0
Sweet Mustard Dill Sauce,1.99,179.74,30.0,110.0,6.0,9.0,0.5,0.0,0.0,0.16,8.0,0.0,7.0,7.0,1.0,0.0,0.02,0.0
"Butter with Parmesan, Garlic & Herb",2.99,113.4,14.0,80.0,8.0,8.0,5.0,0.0,0.02,0.18,2.0,0.0,0.0,0.0,1.0,0.0,0.04,0.0
Organic Grass Fed Top Sirloin Steak,8.99,226.8,112.0,490.0,2.0,16.0,6.0,0.0,0.09,0.06,0.0,0.0,0.0,0.0,22.0,0.0,0.03,0.0
Organic Grass Fed Tenderloin Steak,24.99,340.2,112.0,840.0,3.0,20.0,8.0,0.0,0.1,0.06,0.0,0.0,0.0,0.0,22.0,0.0,0.03,0.0
Organic Grass Fed NY Strip Steak Boneless,13.99,283.5,112.0,670.0,2.5,19.0,8.0,0.0,0.09,0.06,0.0,0.0,0.0,0.0,22.0,0.0,0.01,0.0
Organic Grass Fed Ribeye Steak Boneless,14.99,283.5,112.0,720.0,2.5,22.0,10.0,1.5,0.07,0.06,0.0,0.0,0.0,0.0,21.0,0.0,0.01,0.0
Caesar Salad Dip,3.69,226.8,28.0,80.0,8.0,7.0,2.0,0.0,0.01,0.15,1.0,0.0,1.0,0.0,2.0,0.0,0.06,0.0
Rum Balls,4.49,224.82,25.0,100.0,9.0,4.0,1.5,0.0,0.0,0.06,14.0,1.0,9.0,9.0,1.0,0.0,0.0,0.0
Cashel Blue® Cheese Irish Potato Chips,2.99,155.93,28.0,150.0,6.0,10.0,1.0,0.0,0.0,0.23,15.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
Lemon Stuffed Olives,2.99,340.2,16.0,25.0,12.0,2.5,0.0,0.0,0.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
English Toffee Ice Cream,3.79,473.18,123.0,1000.0,3.0,20.0,13.0,0.0,0.07,0.12,34.0,0.0,31.0,27.0,4.0,1e-06,0.13,0.0
British Shortbread Cookie Collection,7.99,299.94,30.0,160.0,10.0,8.0,4.5,0.0,0.02,0.12,19.0,1.0,7.0,6.0,2.0,0.0,0.01,0.0
Spiced Cranberry Granola,3.99,340.2,65.0,140.0,5.0,4.0,1.0,0.0,0.0,0.06,21.0,2.0,8.0,5.0,2.0,0.0,0.02,0.0
Peppermint Crunch Popcorn,1.99,170.1,33.0,140.0,5.0,3.0,2.5,0.0,0.0,0.1,28.0,1.0,21.0,21.0,1.0,0.0,0.0,0.0
Peppermint Pretzel Slims,3.49,170.1,30.0,140.0,6.0,5.0,4.5,0.0,0.0,0.12,22.0,0.0,13.0,12.0,2.0,0.0,0.03,0.0
Festive Chaos of Gummy Candy,5.49,567.0,33.0,110.0,17.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,21.0,21.0,2.0,0.0,0.0,0.0
English Fudge Collection,5.49,269.89,26.0,110.0,3.5,3.5,2.0,0.0,0.0,0.04,19.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0
Dark Chocolate Dipped Candy Cane Marshmallows,3.49,133.25,33.0,140.0,4.0,3.5,2.5,0.0,0.0,0.01,26.0,1.0,19.0,19.0,1.0,0.0,0.0,0.0
Cocoa Truffles Collection,4.99,215.46,28.0,170.0,8.0,12.0,11.0,0.0,0.0,0.02,14.0,1.0,11.0,11.0,1.0,1e-06,0.02,0.0
Candy Cane Baton Wafer Cookies,1.99,141.75,28.0,130.0,5.0,4.5,2.0,0.0,0.0,0.07,21.0,1.0,12.0,11.0,1.0,0.0,0.01,0.0
Turkey Harvest Salad,5.99,283.5,100.0,590.0,3.0,14.0,1.5,0.0,0.01,0.2,15.0,3.0,7.0,4.0,7.0,0.0,0.05,0.0
Crunchy Milk Chocolate Hazelnut Pralines,1.99,149.69,25.0,140.0,6.0,9.0,3.0,0.0,0.01,0.02,11.0,1.0,8.0,8.0,2.0,0.0,0.03,0.0
Vegetable Root Chips,2.99,212.62,28.0,140.0,8.0,7.0,0.5,0.0,0.0,0.09,19.0,2.0,2.0,0.0,1.0,0.0,0.03,0.0
Sugared Rice Cracker Stars,1.99,180.02,28.0,110.0,6.0,0.0,0.0,0.0,0.0,0.16,25.0,0.0,9.0,9.0,1.0,0.0,0.0,0.0
Shishito Crisps,2.99,29.77,30.0,200.0,1.0,16.0,4.0,0.0,0.0,0.03,10.0,6.0,1.0,0.0,2.0,0.0,0.03,0.0
Phyllo Crisps,2.99,79.38,32.0,410.0,2.5,9.0,2.0,0.0,0.02,0.01,17.0,1.0,10.0,9.0,3.0,0.0,0.02,0.0
French Onion Popcorn,2.69,141.75,30.0,180.0,5.0,14.0,6.0,0.0,0.0,0.28,12.0,2.0,1.0,1.0,2.0,0.0,0.02,0.0
Festively Shaped Pretzels,0.99,340.2,30.0,120.0,11.0,1.0,0.0,0.0,0.0,0.28,24.0,1.0,1.0,0.0,3.0,0.0,0.01,0.0
Elevated Cracker Assortment,7.99,360.05,30.0,110.0,4.0,1.5,0.0,0.0,0.0,0.21,21.0,1.0,2.0,0.0,3.0,0.0,0.01,0.0
Cheddar & Parmesan Cheese Snackers,1.99,74.84,30.0,390.0,2.5,9.0,6.0,0.0,0.03,0.34,16.0,1.0,1.0,0.0,3.0,0.0,0.05,0.0
Granny Smith Apple & Calvados Spirited Fruit Spread,2.99,212.62,15.0,35.0,14.0,0.0,0.0,0.0,0.0,0.01,8.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0
Mini Mushroom Tartelettes,5.49,255.15,85.0,940.0,3.0,21.0,12.0,0.5,0.06,0.48,25.0,2.0,2.0,0.0,8.0,0.0,0.09,0.0
Garlic Gondolas,3.99,249.48,125.0,680.0,2.0,8.0,3.0,0.0,0.01,0.71,57.0,2.0,5.0,1.0,9.0,0.0,0.04,0.0
Chao Tôm,5.49,280.1,90.0,130.0,2.5,6.0,2.0,0.0,0.06,0.72,11.0,3.0,7.0,2.0,8.0,0.0,0.07,0.0
Olive Tapenade Hummus,3.49,283.5,28.0,50.0,10.0,3.0,0.5,0.0,0.0,0.07,4.0,1.0,0.0,0.0,2.0,0.0,0.01,0.0
German Iced Gingerbread Soft Spiced Cookies,1.99,199.87,33.0,150.0,6.0,6.0,4.0,0.0,0.03,0.06,22.0,1.0,10.0,10.0,2.0,0.0,0.01,0.0
Soft Italian Nougat,2.49,79.66,27.0,360.0,3.0,4.5,0.5,0.0,0.0,0.0,18.0,1.0,17.0,15.0,2.0,0.0,0.02,0.0
Peanut Brittle,3.99,198.45,30.0,150.0,7.0,8.0,3.5,0.0,0.01,0.16,17.0,1.0,13.0,12.0,2.0,0.0,0.0,0.0
Italian Confetti Almonds,4.49,170.1,30.0,150.0,6.0,7.0,0.5,0.0,0.0,0.0,19.0,1.0,18.0,17.0,2.0,0.0,0.02,0.0
Dark Chocolate Orange,3.49,156.78,31.0,170.0,5.0,10.0,6.0,0.0,0.0,0.0,19.0,2.0,16.0,16.0,2.0,0.0,0.01,0.0
Crunchy Italian Amaretti Cookies,2.99,99.23,36.0,160.0,3.0,4.0,0.0,0.0,0.0,0.01,27.0,2.0,27.0,24.0,2.0,0.0,0.01,0.0
Boozy Bottles,3.99,81.08,27.0,130.0,3.0,7.0,4.0,0.0,0.0,0.0,15.0,2.0,13.0,13.0,1.0,1e-06,0.01,0.01
A Trio of Chocolate Boules,4.99,159.61,36.0,200.0,4.5,13.0,8.0,0.0,0.01,0.01,18.0,2.0,17.0,12.0,2.0,0.0,0.05,0.0
Jingly Jangly,1.49,83.63,28.0,430.0,3.0,7.0,4.5,0.0,0.0,0.05,18.0,1.0,14.0,13.0,1.0,0.0,0.01,0.0
Chocolate Chip Poffertjes,3.99,320.36,107.0,1110.0,3.0,21.0,6.0,0.0,0.05,0.29,36.0,3.0,18.0,14.0,7.0,0.0,0.17,0.0
Strained Thick & Creamy Greek Yogurt Plain,5.49,907.2,170.0,170.0,5.0,9.0,6.0,0.0,0.04,0.06,7.0,1.0,6.0,0.0,15.0,0.0,0.17,0.0
Uncured Bacon Wrapped Scallops,9.99,226.8,85.0,900.0,2.5,30.0,11.0,0.0,0.06,0.6,3.0,0.0,1.0,1.0,13.0,0.0,0.01,0.0
Crispy Shiitake Mushrooms,4.99,299.94,75.0,150.0,4.0,9.0,1.5,0.0,0.0,0.23,15.0,2.0,1.0,0.0,2.0,1e-06,0.0,0.0
Vanilla & Cream Yogurt,2.69,453.6,113.0,140.0,1.0,6.0,3.5,0.0,0.02,0.05,19.0,0.0,16.0,13.0,4.0,0.0,0.11,0.0
Raspberries & Cream Yogurt,2.69,453.6,113.0,140.0,1.0,6.0,3.5,0.0,0.02,0.05,18.0,0.0,15.0,12.0,4.0,0.0,0.11,0.0
Meyer Lemon & Cream Yogurt,2.69,453.6,113.0,140.0,1.0,6.0,3.5,0.0,0.02,0.06,18.0,0.0,15.0,11.0,4.0,0.0,0.11,0.0
Blueberries & Cream Yogurt,2.69,453.6,113.0,140.0,1.0,6.0,3.5,0.0,0.02,0.05,19.0,0.0,16.0,12.0,4.0,0.0,0.11,0.0
Mini Brioche Bites,4.99,192.78,96.0,640.0,2.0,13.0,8.0,0.0,0.07,0.39,43.0,2.0,14.0,10.0,7.0,1e-06,0.08,0.0
Freeze Dried Mangosteen,2.99,42.81,43.0,170.0,1.0,0.5,0.0,0.0,0.0,0.0,41.0,3.0,32.0,0.0,1.0,0.0,0.02,0.0
Double Cream Brie,9.99,453.6,28.0,110.0,16.0,10.0,6.0,0.0,0.03,0.2,0.0,0.0,0.0,0.0,5.0,0.0,0.13,0.0
