name,price,package_size,serving_size,calories_per_serving,calculated_calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Protein,Vitamin D,Calcium,Iron,Potassium,Polyunsaturated Fat,Monounsaturated Fat,Vitamin A,Vitamin C,Insoluble Fiber,Soluble Fiber,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Folic Acid,Vitamin B12,Zinc,Pantothenic Acid,Phosphorus,Calories from Fat,Trans Fat 0g,† As prepared with unsalted butter and salt.,Added SugarsƗ,Ɨ One  serving adds 16g of sugar to your diet and represents  32% of the Daily Value for Added Sugars
Chicken Chile Verde Burritos,$3.99,14 Oz,198 g,810.0,825.0,29 g,8 g,0 g,75 mg,1950 mg,102 g,4 g,2 g,0 g,39 g,0.0 mcg,270 mg,7.6 mg,440 mg,,,,,,,,,,,,,,,,,,,,,
Nocciolini Tiny Hazelnut Meringues,$2.69,3.5 Oz,28 g,150.0,148.0,8 g,0.5 g,0 g,0 mg,15 mg,16 g,1 g,16 g,15 g,3 g,0.0 mcg,20 mg,0.4 mg,110 mg,,,,,,,,,,,,,,,,,,,,,
Crispy Oatmeal Cookies with Sea Salt,$3.99,7 Oz,30 g,120.0,121.0,5 g,3.0 g,0 g,20 mg,130 mg,17 g,0 g,8 g,8 g,2 g,0.0 mcg,10 mg,0.7 mg,20 mg,,,,,,,,,,,,,,,,,,,,,
Chocolate Coffee Flavored Granola,$3.99,12 Oz,58 g,110.0,260.0,8 g,1.5 g,0 g,0 mg,120 mg,42 g,5 g,15 g,15 g,5 g,0.0 mcg,20 mg,2.7 mg,240 mg,,,,,,,,,,,,,,,,,,,,,
Avocado Mash,$3.49,8 Oz,30 g,45.0,56.0,4 g,0.5 g,0 g,0 mg,90 mg,3 g,2 g,0 g,0 g,2 g,0.0 mcg,0 mg,0.2 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Unsalted Dry Toasted Sliced Almonds,$3.49,8 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parmigiano Reggiano Stravecchio,$17.99,1 Lb,28 g,110.0,108.0,8g,6g,0g,25mg,180mg,0g,0g,0g,0g,9g,,,,,,,,,,,,,,,,,,,,,,,,,
"Beef, Bean & Cheese Burrito",$4.49,8 Oz,227 g,540.0,524.0,24 g,7 g,0.5 g,45 mg,820 mg,56 g,6 g,4 g,1 g,21 g,0.6 mcg,220 mg,5.6 mg,470 mg,,,,,,,,,,,,,,,,,,,,,
Leaves of Little Gem Lettuce,$2.99,6 Oz,85 g,30.0,36.5,0.5 g,0 g,0 g,0 mg,15 mg,6 g,4 g,2 g,0 g,2 g,0.0 mcg,60 mg,1.6 mg,420 mg,,,,,,,,,,,,,,,,,,,,,
Premium Extra Virgin Olive Oil Cold Pressed,$12.99,33.8 Fl Oz,15 mL,120.0,126.0,14 g,2 g,0 g,,0 mg,0 g,,,,0 g,,,,,1.5g,10 g,,,,,,,,,,,,,,,,,,,
Crispy Dried Watermelon,$2.99,1.41 Oz,40 g,150.0,152.0,0 g,0 g,0 g,0 mg,15 mg,35 g,2 g,31 g,0 g,3 g,0.0 mcg,20 mg,0.6 mg,410 mg,,,,,,,,,,,,,,,,,,,,,
Shredded Potato Hash Browns,$2.49,20 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Mini Sheet Cake,$5.99,14 Oz,66 g,290.0,295.0,15g,6g,0g,45mg,180mg,38g,1g,25g,25g,2g,,,,,,,,,,,,,,,,,,,,,,,,,
Sweetheart White Stilton Cheese,$5.49,6.34 Oz,28 g,110.0,103.0,7 g,5.0 g,0 g,15 mg,110 mg,6 g,2g,5 g,4 g,4 g,0.3 mcg,90 mg,0.2 mg,30 mg,,,,,,,,,,,,,,,,,,,,,
Lentils,$0.99,15 Oz,130 g,80.0,92.5,0.5 g,0 g,0 g,0 mg,290 mg,16 g,3 g,0 g,0 g,6 g,0.0 mcg,20 mg,1.7 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
Pearled Couscous,$1.99,8 Oz,50 g,180.0,176.5,0.5 g,0 g,0 g,0 mg,0 mg,36 g,1 g,,0 g,7 g,0.0 mcg,10 mg,0.6 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Miso Instant Ramen Soup,$1.89,1.5 Oz,43 g,180.0,179.0,3.0 g,0 g,0 g,0 mg,860 mg,31 g,2 g,3 g,2 g,7 g,0.0 mcg,20 mg,0.8 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Sliced Shiitake Mushrooms,$3.49,10 Oz,85 g,25.0,24.0,0 g,0 g,0 g,0 mg,45 mg,4 g,2 g,2g,0 g,2 g,0.0 mcg,0 mg,1.3 mg,210 mg,,,,,,,,,,,,,,,,,,,,,
Handheld Chicken Pot Pies,$4.49,9 Oz,255 g,1140.0,813.0,45 g,22 g,2.0 g,45 mg,1200 mg,74 g,7 g,9 g,2 g,28 g,0.0 mcg,100 mg,4.1 mg,420 mg,,,,,,,,,,,,,,,,,,,,,
Dark Chocolate Bark,$5.49,8 Oz,30 g,160.0,161.0,9 g,5 g,0 g,10 mg,30 mg,18 g,2 g,14 g,13 g,2 g,0.0 mcg,20 mg,2.0 mg,120 mg,,,,,,,,,,,,,,,,,,,,,
GoMacro® Timeless Treasure Salted Caramel + Chocolate Chips,$2.69,2.3 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soft Pretzel Twists,$3.49,14.3 Oz,67 g,190.0,188.0,4.0 g,0.5 g,0 g,0 mg,1080 mg,33 g,1 g,0 g,0 g,5 g,0 mcg,10 mg,2 mg,50 mg,,,,,,,,,,,,,,,,,,,,,
Cheesy Bagels,$3.49,12 Oz,85 g,210.0,214.5,2.5 g,1.5 g,0 g,5 mg,450 mg,40 g,1 g,4 g,3 g,8 g,0.0 mcg,120 mg,2.7 mg,60 mg,,,,,,,,,,,,,,,,,,,,,
Sandwich Rolls,$3.49,12 Oz,85 g,200.0,202.0,2.0 g,0 g,0 g,0 mg,450 mg,38 g,2 g,2g,2 g,8 g,0.0 mcg,50 mg,2.9 mg,70 mg,,,,,,,,,,,,,,,,,,,,,
70% Peruvian Cacao Dark Chocolate Bar,$2.49,3.5 Oz,30 g,180.0,176.0,12 g,7 g,0 g,0 mg,0 mg,14 g,3 g,9 g,9 g,3 g,0.4 mcg,20 mg,3.4 mg,200 mg,,,,,,,,,,,,,,,,,,,,,
Yangnyeom Sauce,$3.99,15.5 Oz,36 g,60.0,52.0,0 g,0 g,0 g,0 mg,570 mg,12 g,2g,10 g,9 g,1 g,0.0 mcg,20 mg,0.6 mg,90 mg,,,,,,,,,,,,,,,,,,,,,
Organic Spaghetti Triangoletti Pasta,$1.99,1 Lb,56 g/,200.0,192.5,0.5 g,0 g,0 g,0 mg,0 mg,40 g,2 g,1 g,0 g,7 g,0.0 mcg,10 mg,0.6 mg,140 mg,,,,,,,,,,,,,,,,,,,,,
Shishito Peppers,$2.99,8 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teeny Tiny Tomatoes,$1.79,3.5 Oz,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
