,name,price,package_size,serving_size,calculated_calories,Total Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
0,Chicken Chile Verde Burritos,$3.99,14 Oz,198 g,825.0,29 g,75 mg,1950 mg,102 g,4 g,2 g,39 g,0.0 mcg,270 mg,7.6 mg,440 mg
1,Nocciolini Tiny Hazelnut Meringues,$2.69,3.5 Oz,28 g,148.0,8 g,0 mg,15 mg,16 g,1 g,16 g,3 g,0.0 mcg,20 mg,0.4 mg,110 mg
2,Crispy Oatmeal Cookies with Sea Salt,$3.99,7 Oz,30 g,121.0,5 g,20 mg,130 mg,17 g,0 g,8 g,2 g,0.0 mcg,10 mg,0.7 mg,20 mg
3,Chocolate Coffee Flavored Granola,$3.99,12 Oz,58 g,260.0,8 g,0 mg,120 mg,42 g,5 g,15 g,5 g,0.0 mcg,20 mg,2.7 mg,240 mg
4,Avocado Mash,$3.49,8 Oz,30 g,56.0,4 g,0 mg,90 mg,3 g,2 g,0 g,2 g,0.0 mcg,0 mg,0.2 mg,140 mg
5,Unsalted Dry Toasted Sliced Almonds,$3.49,8 Oz,,0.0,,,,,,,,,,,
6,Parmigiano Reggiano Stravecchio,$17.99,1 Lb,28 g,108.0,8g,25mg,180mg,0g,0g,0g,9g,,,,
7,"Beef, Bean & Cheese Burrito",$4.49,8 Oz,227 g,524.0,24 g,45 mg,820 mg,56 g,6 g,4 g,21 g,0.6 mcg,220 mg,5.6 mg,470 mg
8,Leaves of Little Gem Lettuce,$2.99,6 Oz,85 g,36.5,0.5 g,0 mg,15 mg,6 g,4 g,2 g,2 g,0.0 mcg,60 mg,1.6 mg,420 mg
9,Premium Extra Virgin Olive Oil Cold Pressed,$12.99,33.8 Fl Oz,15 mL,126.0,14 g,,0 mg,0 g,,,0 g,,,,
10,Crispy Dried Watermelon,$2.99,1.41 Oz,40 g,152.0,0 g,0 mg,15 mg,35 g,2 g,31 g,3 g,0.0 mcg,20 mg,0.6 mg,410 mg
11,Shredded Potato Hash Browns,$2.49,20 Oz,,0.0,,,,,,,,,,,
12,Yellow Mini Sheet Cake,$5.99,14 Oz,66 g,295.0,15g,45mg,180mg,38g,1g,25g,2g,,,,
13,Sweetheart White Stilton Cheese,$5.49,6.34 Oz,28 g,103.0,7 g,15 mg,110 mg,6 g,2g,5 g,4 g,0.3 mcg,90 mg,0.2 mg,30 mg
14,Lentils,$0.99,15 Oz,130 g,92.5,0.5 g,0 mg,290 mg,16 g,3 g,0 g,6 g,0.0 mcg,20 mg,1.7 mg,200 mg
